Metadata
Fiber 1,Fiber 2,Fiber 3,Fiber 4
1553.74426,1556.30594,1551.25928,1550.6018
1502319972.22976,1552.97782,521.924

Serial Num,Timestamp(s),Temperature(K),Wavelength(nm),Power(dBm)
Fiber 2,1502322634.7837152,248.7945,1556.3059,-9.414
Fiber 3,1502322634.7837152,248.7945,1551.2601,-15.372
Fiber 4,1502322634.7837152,248.7945,1550.6033,-19.23


Fiber 1,1502322697.7838037,248.7985,1553.74536,-10.452
Fiber 2,1502322697.7838037,248.7985,1556.30644,-9.476
Fiber 3,1502322697.7838037,248.7985,1551.26038,-15.318
Fiber 4,1502322697.7838037,248.7985,1550.6035,-19.244


Fiber 1,1502322761.2838924,248.808,1553.7454,-10.486
Fiber 2,1502322761.2838924,248.808,1556.30654,-9.442
Fiber 3,1502322761.2838924,248.808,1551.2611,-15.334
Fiber 4,1502322761.2838924,248.808,1550.60382,-19.156


Fiber 1,1502322824.2839808,248.8195,1553.74636,-10.446
Fiber 2,1502322824.2839808,248.8195,1556.30664,-9.422
Fiber 3,1502322824.2839808,248.8195,1551.26072,-15.32
Fiber 4,1502322824.2839808,248.8195,1550.60348,-19.182


Fiber 1,1502322886.7940683,248.831,1553.74548,-10.508
Fiber 2,1502322886.7940683,248.831,1556.30678,-9.426
Fiber 3,1502322886.7940683,248.831,1551.26024,-15.414
Fiber 4,1502322886.7940683,248.831,1550.60326,-19.228


Fiber 1,1502322949.3041558,248.84050000000002,1553.74622,-10.5
Fiber 2,1502322949.3041558,248.84050000000002,1556.30746,-9.408
Fiber 3,1502322949.3041558,248.84050000000002,1551.26028,-15.416
Fiber 4,1502322949.3041558,248.84050000000002,1550.60326,-19.208


Fiber 1,1502323012.2942438,248.8395,1553.7459,-10.448
Fiber 2,1502323012.2942438,248.8395,1556.3055,-9.422
Fiber 3,1502323012.2942438,248.8395,1551.26006,-15.416
Fiber 4,1502323012.2942438,248.8395,1550.60358,-19.202


Fiber 1,1502323075.2943323,248.83550000000002,1553.74558,-10.454
Fiber 2,1502323075.2943323,248.83550000000002,1556.30678,-9.456
Fiber 3,1502323075.2943323,248.83550000000002,1551.26084,-15.376
Fiber 4,1502323075.2943323,248.83550000000002,1550.60326,-19.19


Fiber 1,1502323137.7944198,248.834,1553.74496,-10.46
Fiber 2,1502323137.7944198,248.834,1556.30606,-9.412
Fiber 3,1502323137.7944198,248.834,1551.25988,-15.438
Fiber 4,1502323137.7944198,248.834,1550.60296,-19.202


Fiber 1,1502323200.294507,248.83550000000002,1553.74558,-10.47
Fiber 2,1502323200.294507,248.83550000000002,1556.3072,-9.43
Fiber 3,1502323200.294507,248.83550000000002,1551.2617,-15.484
Fiber 4,1502323200.294507,248.83550000000002,1550.603,-19.198


Fiber 1,1502323263.7945962,248.84050000000002,1553.74578,-10.402
Fiber 2,1502323263.7945962,248.84050000000002,1556.3067,-9.404
Fiber 3,1502323263.7945962,248.84050000000002,1551.26066,-15.436
Fiber 4,1502323263.7945962,248.84050000000002,1550.60332,-19.162


Fiber 1,1502323326.7946842,248.84750000000003,1553.74594,-10.488
Fiber 2,1502323326.7946842,248.84750000000003,1556.30734,-9.416
Fiber 3,1502323326.7946842,248.84750000000003,1551.26012,-15.448
Fiber 4,1502323326.7946842,248.84750000000003,1550.6031,-19.236


Fiber 1,1502323389.8047726,248.854,1553.746,-10.446
Fiber 2,1502323389.8047726,248.854,1556.30774,-9.43
Fiber 3,1502323389.8047726,248.854,1551.25956,-15.456
Fiber 4,1502323389.8047726,248.854,1550.60342,-19.244


Fiber 1,1502323452.31486,248.86,1553.74604,-10.498
Fiber 2,1502323452.31486,248.86,1556.30668,-9.414
Fiber 3,1502323452.31486,248.86,1551.26024,-15.456
Fiber 4,1502323452.31486,248.86,1550.60378,-19.28


Fiber 1,1502323514.8049474,248.85950000000003,1553.74578,-10.474
Fiber 2,1502323514.8049474,248.85950000000003,1556.3072,-9.398
Fiber 3,1502323514.8049474,248.85950000000003,1551.26124,-15.64
Fiber 4,1502323514.8049474,248.85950000000003,1550.60384,-19.324


